data,positivi,quarantena,guariti,decessi
10-20-2020,0,0,0,0
10-21-2020,1,0,0,0
10-22-2020,1,0,0,0
10-23-2020,1,0,0,0
10-24-2020,4,3,0,0
10-25-2020,4,3,0,0
10-26-2020,4,3,0,0
10-27-2020,4,3,0,0
10-28-2020,7,11,0,0
10-29-2020,7,11,0,0
10-30-2020,7,11,0,0
10-31-2020,7,11,0,0
11-01-2020,7,11,0,0
11-02-2020,7,11,0,0
11-03-2020,7,11,0,0
11-04-2020,7,11,0,0
11-05-2020,7,9,0,0
11-06-2020,7,9,0,0
11-07-2020,7,9,0,0
11-08-2020,7,9,0,0
11-09-2020,12,10,0,0
11-10-2020,11,14,0,1
11-11-2020,11,14,0,1
11-12-2020,15,16,0,1
11-13-2020,17,17,0,1
11-14-2020,17,17,0,1
11-15-2020,14,16,4,2
11-16-2020,14,16,4,2
11-17-2020,13,21,4,2
11-18-2020,13,21,4,2
